asset_id,name,type,manufacturer,model,serial_no,location,ip_address,firmware,install_date,last_maintenance,status
AST-001,PLC-01 Production Line A,PLC,Allen-Bradley,ControlLogix 5580,CL5580-A2291,Panel-A1,10.30.1.10,v33.011,2021-06-15,2025-01-10,Online
AST-002,PLC-02 Production Line B,PLC,Allen-Bradley,ControlLogix 5580,CL5580-B3312,Panel-B1,10.30.1.11,v33.011,2021-06-15,2025-01-10,Online
AST-003,PLC-03 Utilities,PLC,Siemens,S7-1500,S71500-U4421,Utility-Room,10.30.1.12,v2.9.4,2020-03-20,2025-02-01,Online
AST-004,Safety PLC SIS,Safety PLC,Triconex,Tricon CX,TCX-S8812,Panel-S1,10.30.1.20,v11.3.1,2019-11-01,2025-01-15,Online
AST-005,SCADA Server,Server,Dell,PowerEdge R750,PE750-SC001,Server-Room,10.10.1.20,Win2022,2022-01-10,2025-03-01,Online
AST-006,Historian Server,Server,OSIsoft,PI Server 2023,PI2023-H001,Server-Room,10.10.1.10,PI2023,2022-01-10,2025-03-01,Online
AST-007,HMI Terminal 01,HMI,Wonderware,InTouch 2023,WT2023-H001,Control-Room,10.20.1.10,2023.1,2022-06-01,2025-02-15,Online
AST-008,HMI Terminal 02,HMI,Wonderware,InTouch 2023,WT2023-H002,Control-Room,10.20.1.11,2023.1,2022-06-01,2025-02-15,Online
AST-009,Firewall OT,Firewall,Fortinet,FortiGate 100F,FG100F-FW01,Network-Room,10.10.0.1,v7.4.3,2021-09-01,2025-03-01,Online
AST-010,Industrial Switch,Switch,Cisco,IE-3400,IE3400-SW01,Panel-A1,10.30.0.1,IOS-XE17.9,2021-09-01,2025-03-01,Online
