timestamp,tag_name,value,unit,quality,station_id
2025-03-28 08:00:00,TEMP_REACTOR_01,72.4,degC,Good,PLC-01
2025-03-28 08:00:00,PRESSURE_VESSEL_A,142.8,PSI,Good,PLC-01
2025-03-28 08:00:00,FLOW_RATE_LINE1,24.7,L/min,Good,PLC-02
2025-03-28 08:00:00,MOTOR_SPEED_CONV,1450,RPM,Good,PLC-02
2025-03-28 08:00:00,LEVEL_TANK_B,68.2,percent,Good,PLC-03
2025-03-28 08:05:00,TEMP_REACTOR_01,73.1,degC,Good,PLC-01
2025-03-28 08:05:00,PRESSURE_VESSEL_A,143.2,PSI,Good,PLC-01
2025-03-28 08:05:00,FLOW_RATE_LINE1,24.9,L/min,Good,PLC-02
2025-03-28 08:05:00,MOTOR_SPEED_CONV,1448,RPM,Good,PLC-02
2025-03-28 08:05:00,LEVEL_TANK_B,67.8,percent,Good,PLC-03
2025-03-28 08:10:00,TEMP_REACTOR_01,74.8,degC,Good,PLC-01
2025-03-28 08:10:00,PRESSURE_VESSEL_A,144.1,PSI,Good,PLC-01
2025-03-28 08:10:00,FLOW_RATE_LINE1,25.2,L/min,Good,PLC-02
2025-03-28 08:10:00,MOTOR_SPEED_CONV,1452,RPM,Good,PLC-02
2025-03-28 08:10:00,LEVEL_TANK_B,66.9,percent,Good,PLC-03
2025-03-28 08:15:00,TEMP_REACTOR_01,76.3,degC,Uncertain,PLC-01
2025-03-28 08:15:00,PRESSURE_VESSEL_A,148.7,PSI,Good,PLC-01
2025-03-28 08:15:00,FLOW_RATE_LINE1,23.1,L/min,Good,PLC-02
2025-03-28 08:20:00,TEMP_REACTOR_01,84.9,degC,Good,PLC-01
2025-03-28 08:20:00,PRESSURE_VESSEL_A,151.2,PSI,Good,PLC-01
